,date,price_eur_mwh,demand,pv,wi,jg,jnwrb,temperature_c,wind_speed_ms,solar_wm2,co2_price_eur,hour,day_of_week,price_lag_24,res_share,hour_sin,hour_cos
0,2024-07-01 00:00:00+00:00,96.87,13417.476999999999,0.0,2169.79075,8648.2665,4779.67725,22.1,14.2,0.0,20.747148513793945,0,0,72.66,0.16171376705173413,0.0,1.0
1,2024-07-01 01:00:00+00:00,89.15,13266.2485,0.0,2248.30575,8622.194749999999,4873.6095000000005,20.9,15.9,0.0,20.747148513793945,1,0,73.47,0.1694756245520352,0.25881904510252074,0.9659258262890683
2,2024-07-01 02:00:00+00:00,88.2,13277.699,0.0,2207.15725,8157.64725,4916.39725,20.7,14.5,0.0,20.747148513793945,2,0,65.51,0.1662304025720119,0.49999999999999994,0.8660254037844387
3,2024-07-01 03:00:00+00:00,89.26,13903.54825,0.0,1971.2815,8028.173,5070.26675,20.4,11.9,7.0,20.747148513793945,3,0,52.31,0.14178262013080006,0.7071067811865475,0.7071067811865476
4,2024-07-01 04:00:00+00:00,143.3,16451.63675,0.0,1894.3325,9556.20075,5691.922,21.2,15.1,69.0,20.747148513793945,4,0,50.44,0.11514553407581163,0.8660254037844386,0.5000000000000001
5,2024-07-01 05:00:00+00:00,144.83,18670.3555,0.0,1650.7997500000001,10955.06675,6610.0377499999995,22.1,15.6,179.0,20.747148513793945,5,0,20.42,0.08841822802999118,0.9659258262890683,0.25881904510252074
6,2024-07-01 06:00:00+00:00,144.57,20126.0675,3250.46925,1382.22725,11217.867,7518.11975,22.5,16.9,282.0,20.747148513793945,6,0,6.83,0.23018388962473665,1.0,6.123233995736766e-17
7,2024-07-01 07:00:00+00:00,144.05,20561.745499999997,4094.0365,949.1305,11194.376250000001,7894.13675,23.0,18.4,337.0,20.747148513793945,7,0,0.82,0.24526940088816881,0.9659258262890683,-0.25881904510252063
8,2024-07-01 08:00:00+00:00,,20679.764750000002,5215.91475,752.21575,11723.2695,8796.5365,22.9,19.7,462.0,20.747148513793945,8,0,,0.28859760118886263,0.8660254037844387,-0.49999999999999983
9,2024-07-01 09:00:00+00:00,128.54,21245.465,6198.81,604.208,11309.533,9655.368750000001,22.1,18.7,360.0,20.747148513793945,9,0,,0.32021036018745647,0.7071067811865476,-0.7071067811865475
10,2024-07-01 10:00:00+00:00,,21471.60425,6959.2045,505.69725,10909.75275,10295.07425,23.2,18.2,533.0,20.747148513793945,10,0,,0.34766390359490723,0.49999999999999994,-0.8660254037844387
11,2024-07-01 11:00:00+00:00,116.76,21078.127249999998,6706.9215,524.7280000000001,10858.7025,10050.287499999999,23.3,18.0,572.0,20.747148513793945,11,0,-1.45,0.34308785663109614,0.258819045102521,-0.9659258262890682
12,2024-07-01 12:00:00+00:00,,20330.521,6158.308,470.13375,10289.2665,9429.979749999999,23.2,16.8,517.0,20.747148513793945,12,0,,0.32603403277269677,1.2246467991473532e-16,-1.0
13,2024-07-01 13:00:00+00:00,124.11,20304.5095,5717.30325,407.56125,10714.527,8949.3505,21.6,15.5,412.0,20.747148513793945,13,0,,0.3016504535605748,-0.2588190451025208,-0.9659258262890683
14,2024-07-01 14:00:00+00:00,177.04,19946.2665,4821.93775,524.705,11074.5605,8231.44425,21.0,12.5,151.0,20.747148513793945,14,0,0.77,0.26805230693172577,-0.4999999999999998,-0.8660254037844388
15,2024-07-01 15:00:00+00:00,200.9,20426.22875,4094.53125,741.05325,11251.43375,7861.47025,21.9,11.3,306.0,20.747148513793945,15,0,35.3,0.2367340814197041,-0.7071067811865471,-0.7071067811865479
16,2024-07-01 16:00:00+00:00,278.07,20228.90825,2825.712,624.1255,11807.114,6593.86925,22.5,11.5,336.0,20.747148513793945,16,0,104.26,0.1705399746424773,-0.8660254037844384,-0.5000000000000004
17,2024-07-01 17:00:00+00:00,312.92,20208.2625,1326.04675,616.4784999999999,13399.17025,5243.51975,22.3,9.2,218.0,20.747148513793945,17,0,120.54,0.09612529775877564,-0.9659258262890683,-0.25881904510252063
18,2024-07-01 18:00:00+00:00,337.16,20024.3785,474.04275,650.705,13930.84275,4475.793,21.7,6.1,88.0,20.747148513793945,18,0,114.25,0.056168921796998596,-1.0,-1.8369701987210297e-16
19,2024-07-01 19:00:00+00:00,260.69,19479.377,80.95375,649.992,13587.51225,4051.5055,20.4,5.4,18.0,20.747148513793945,19,0,111.22,0.03752408252070895,-0.9659258262890684,0.2588190451025203
20,2024-07-01 20:00:00+00:00,191.17,18388.42425,0.0,805.31375,11532.244999999999,4075.884,19.3,7.9,0.0,20.747148513793945,20,0,104.24,0.04379460355337408,-0.8660254037844386,0.5000000000000001
21,2024-07-01 21:00:00+00:00,140.19,17106.38825,0.0,1045.107,10772.229500000001,4229.1357499999995,18.5,8.3,0.0,20.747148513793945,21,0,95.79,0.06109454460674947,-0.7071067811865477,0.7071067811865474
22,2024-07-01 22:00:00+00:00,166.91,15670.841,0.0,1246.6957499999999,10246.971,4254.35875,17.0,6.0,0.0,20.747148513793945,22,0,122.38,0.07955512725832646,-0.5000000000000004,0.8660254037844384
23,2024-07-01 23:00:00+00:00,146.41,15062.3535,0.0,1433.56225,10650.52275,4365.59775,16.2,6.9,0.0,20.747148513793945,23,0,112.75,0.09517518294866735,-0.25881904510252157,0.9659258262890681
24,2024-07-02 00:00:00+00:00,,14637.03225,0.0,1502.14825,10624.29175,4410.443,16.3,5.4,0.0,21.598106384277344,0,1,96.87,0.1026265587411,0.0,1.0
25,2024-07-02 01:00:00+00:00,,14549.294,0.0,1705.97575,10475.86275,4590.34175,16.9,5.6,0.0,21.598106384277344,1,1,89.15,0.11725488192073101,0.25881904510252074,0.9659258262890683
26,2024-07-02 02:00:00+00:00,121.81,14451.1495,0.0,1860.1095,10150.986499999999,4821.9915,16.4,9.7,0.0,21.598106384277344,2,1,88.2,0.12871706157354473,0.49999999999999994,0.8660254037844387
27,2024-07-02 03:00:00+00:00,,14855.71575,0.0,1884.5335,9837.6175,5180.05125,16.4,6.6,4.0,21.598106384277344,3,1,89.26,0.12685578613066825,0.7071067811865475,0.7071067811865476
28,2024-07-02 04:00:00+00:00,149.61,16916.6525,0.0,1900.84025,10307.41475,5837.408,16.4,7.9,16.0,21.598106384277344,4,1,143.3,0.11236503498549727,0.8660254037844386,0.5000000000000001
29,2024-07-02 05:00:00+00:00,106.69,18874.382250000002,0.0,1838.2065,11405.0185,6766.88475,16.5,11.9,42.0,21.598106384277344,5,1,144.83,0.09739161132015325,0.9659258262890683,0.25881904510252074
30,2024-07-02 06:00:00+00:00,142.06,19720.409,2859.476,2058.87675,11696.25875,7997.095499999999,17.0,17.9,106.0,21.598106384277344,6,1,144.57,0.24940419592717372,1.0,6.123233995736766e-17
31,2024-07-02 07:00:00+00:00,107.38,19873.29175,3993.5595,2234.66675,11132.916000000001,9197.625250000001,16.4,18.3,115.0,21.598106384277344,7,1,144.05,0.3133968105711526,0.9659258262890683,-0.25881904510252063
32,2024-07-02 08:00:00+00:00,83.6,19925.45025,5125.25475,2353.77625,9904.879,10352.4195,16.5,16.1,93.0,21.598106384277344,8,1,,0.37535066491157454,0.8660254037844387,-0.49999999999999983
33,2024-07-02 09:00:00+00:00,,20179.54175,5568.1505,2457.3055,9629.3785,10747.28675,17.7,20.0,315.0,21.598106384277344,9,1,128.54,0.39770258905904043,0.7071067811865476,-0.7071067811865475
34,2024-07-02 10:00:00+00:00,,20529.392,6243.56125,2595.5564999999997,10122.98825,11538.151749999999,16.7,19.8,189.0,21.598106384277344,10,1,,0.4305591587904795,0.49999999999999994,-0.8660254037844387
35,2024-07-02 11:00:00+00:00,,19817.40075,6271.187,2744.0075,9428.156500000001,11741.6425,17.7,17.8,390.0,21.598106384277344,11,1,116.76,0.45491306421706185,0.258819045102521,-0.9659258262890682
36,2024-07-02 12:00:00+00:00,63.97,19046.26775,6264.467,2962.94475,8447.32725,11965.664499999999,20.2,20.0,802.0,21.598106384277344,12,1,,0.484473486938143,1.2246467991473532e-16,-1.0
37,2024-07-02 13:00:00+00:00,67.6,19259.84725,6224.389,2682.47825,8443.136,11642.74,18.0,20.9,685.0,21.598106384277344,13,1,124.11,0.46245783439429927,-0.2588190451025208,-0.9659258262890683
38,2024-07-02 14:00:00+00:00,,19144.59725,5336.12025,2661.7974999999997,8743.3955,10729.1995,19.8,20.1,565.0,21.598106384277344,14,1,177.04,0.4177636983196395,-0.4999999999999998,-0.8660254037844388
39,2024-07-02 15:00:00+00:00,,19603.785499999998,4257.4752499999995,2518.44,9699.524249999999,9711.104,19.9,18.5,537.0,21.598106384277344,15,1,200.9,0.3456432049820174,-0.7071067811865471,-0.7071067811865479
40,2024-07-02 16:00:00+00:00,175.34,19574.4605,2607.57175,2369.79825,10684.825499999999,8135.9495,19.8,17.9,383.0,21.598106384277344,16,1,278.07,0.2542787833156372,-0.8660254037844384,-0.5000000000000004
41,2024-07-02 17:00:00+00:00,,19735.4755,1289.93775,1835.5025,11928.313,6349.4055,19.0,18.2,242.0,21.598106384277344,17,1,312.92,0.1583666048482085,-0.9659258262890683,-0.25881904510252063
42,2024-07-02 18:00:00+00:00,141.38,19661.0445,437.286,1667.982,12409.47175,5387.706,18.1,14.0,115.0,21.598106384277344,18,1,337.16,0.10707813615904282,-1.0,-1.8369701987210297e-16
43,2024-07-02 19:00:00+00:00,,19184.96525,57.987,1686.484,11991.73475,5011.9572499999995,16.8,9.9,23.0,21.598106384277344,19,1,260.69,0.09092906748944984,-0.9659258262890684,0.2588190451025203
44,2024-07-02 20:00:00+00:00,119.66,18002.1565,0.0,1859.1712499999999,10251.486499999999,5072.14675,15.4,7.2,0.0,21.598106384277344,20,1,191.17,0.10327491875764994,-0.8660254037844386,0.5000000000000001
45,2024-07-02 21:00:00+00:00,103.64,16711.713,0.0,2046.2855,9938.1915,5174.31925,14.7,7.9,0.0,21.598106384277344,21,1,140.19,0.12244618490037497,-0.7071067811865477,0.7071067811865474
46,2024-07-02 22:00:00+00:00,,15425.655,0.0,2175.407,9544.893,5154.8150000000005,14.7,7.9,0.0,21.598106384277344,22,1,166.91,0.14102525954327386,-0.5000000000000004,0.8660254037844384
47,2024-07-02 23:00:00+00:00,92.41,14801.1125,0.0,2369.538,9683.396,5298.76375,14.0,12.4,0.0,21.598106384277344,23,1,146.41,0.1600918849849969,-0.25881904510252157,0.9659258262890681
48,2024-07-03 00:00:00+00:00,,14494.4775,0.0,2241.08975,9802.423,5133.928,13.7,13.3,0.0,21.5990047454834,0,2,,0.15461680146800738,0.0,1.0
49,2024-07-03 01:00:00+00:00,,14495.15625,0.0,2179.2165,9849.2985,5043.97325,13.1,11.5,0.0,21.5990047454834,1,2,,0.15034101477864373,0.25881904510252074,0.9659258262890683
50,2024-07-03 02:00:00+00:00,,14320.9795,0.0,2109.783,9873.15675,5056.1765,12.9,12.6,0.0,21.5990047454834,2,2,121.81,0.1473211381944929,0.49999999999999994,0.8660254037844387
51,2024-07-03 03:00:00+00:00,90.11,14593.4385,0.0,1908.05175,9724.86,5254.0962500000005,12.8,11.5,8.0,21.5990047454834,3,2,,0.13074723616370468,0.7071067811865475,0.7071067811865476
52,2024-07-03 04:00:00+00:00,105.57,16667.95025,0.0,1745.01775,10335.08225,6001.2567500000005,14.0,11.2,80.0,21.5990047454834,4,2,149.61,0.10469300206844569,0.8660254037844386,0.5000000000000001
53,2024-07-03 05:00:00+00:00,114.23,18705.86825,0.0,1634.6035000000002,11555.04875,7302.5985,15.2,12.3,200.0,21.5990047454834,5,2,106.69,0.08738452971836794,0.9659258262890683,0.25881904510252074
54,2024-07-03 06:00:00+00:00,111.91,19488.73875,4105.06175,1597.654,11208.5615,8661.986,16.4,13.0,298.0,21.5990047454834,6,2,142.06,0.2926159472479972,1.0,6.123233995736766e-17
55,2024-07-03 07:00:00+00:00,92.97,19910.48675,5123.1875,1685.5205,11042.61475,9728.59825,17.5,11.9,304.0,21.5990047454834,7,2,107.38,0.3419659240626049,0.9659258262890683,-0.25881904510252063
56,2024-07-03 08:00:00+00:00,87.68,20012.1505,5873.32025,1657.7247499999999,10119.204,10427.185,18.3,11.9,319.0,21.5990047454834,8,2,83.6,0.37632362399033525,0.8660254037844387,-0.49999999999999983
