date,co2_price_eur
2024-07-01 00:00:00+00:00,20.747148513793945
2024-07-02 00:00:00+00:00,21.598106384277344
2024-07-03 00:00:00+00:00,21.5990047454834
2024-07-05 00:00:00+00:00,21.521564483642578
2024-07-08 00:00:00+00:00,21.084829330444336
2024-07-09 00:00:00+00:00,20.900230407714844
2024-07-10 00:00:00+00:00,20.75615119934082
2024-07-11 00:00:00+00:00,21.062314987182617
2024-07-12 00:00:00+00:00,21.42251205444336
2024-07-15 00:00:00+00:00,20.804779052734375
2024-07-16 00:00:00+00:00,20.990278244018555
2024-07-17 00:00:00+00:00,20.589563369750977
2024-07-18 00:00:00+00:00,20.347333908081055
2024-07-19 00:00:00+00:00,20.33562660217285
2024-07-22 00:00:00+00:00,19.986238479614258
2024-07-23 00:00:00+00:00,20.202354431152344
2024-07-24 00:00:00+00:00,21.138858795166016
2024-07-25 00:00:00+00:00,20.597667694091797
2024-07-26 00:00:00+00:00,20.801176071166992
2024-07-29 00:00:00+00:00,21.053312301635742
2024-07-30 00:00:00+00:00,20.965065002441406
2024-07-31 00:00:00+00:00,21.22710418701172
2024-08-01 00:00:00+00:00,21.729576110839844
2024-08-02 00:00:00+00:00,21.795310974121094
2024-08-05 00:00:00+00:00,21.50355339050293
2024-08-06 00:00:00+00:00,21.66834259033203
2024-08-07 00:00:00+00:00,21.944793701171875
2024-08-08 00:00:00+00:00,21.948392868041992
2024-08-09 00:00:00+00:00,21.743083953857422
2024-08-12 00:00:00+00:00,22.63096046447754
2024-08-13 00:00:00+00:00,22.354511260986328
2024-08-14 00:00:00+00:00,22.53911018371582
2024-08-15 00:00:00+00:00,22.510295867919922
2024-08-16 00:00:00+00:00,22.668781280517578
2024-08-19 00:00:00+00:00,23.07940101623535
2024-08-20 00:00:00+00:00,23.24058723449707
2024-08-21 00:00:00+00:00,23.090206146240234
2024-08-22 00:00:00+00:00,22.720109939575195
2024-08-23 00:00:00+00:00,22.7867431640625
2024-08-26 00:00:00+00:00,22.395034790039062
2024-08-27 00:00:00+00:00,22.99835968017578
2024-08-28 00:00:00+00:00,22.417545318603516
2024-08-29 00:00:00+00:00,22.379724502563477
2024-08-30 00:00:00+00:00,22.08976936340332
2024-09-03 00:00:00+00:00,21.431514739990234
2024-09-04 00:00:00+00:00,21.085729598999023
2024-09-05 00:00:00+00:00,20.927244186401367
2024-09-06 00:00:00+00:00,20.999284744262695
2024-09-09 00:00:00+00:00,20.86421012878418
2024-09-10 00:00:00+00:00,20.540937423706055
2024-09-11 00:00:00+00:00,20.815584182739258
2024-09-12 00:00:00+00:00,20.635488510131836
2024-09-13 00:00:00+00:00,20.535533905029297
2024-09-16 00:00:00+00:00,20.12131118774414
2024-09-17 00:00:00+00:00,20.377948760986328
2024-09-18 00:00:00+00:00,20.2077579498291
2024-09-19 00:00:00+00:00,20.08529281616211
2024-09-20 00:00:00+00:00,20.235673904418945
2024-09-23 00:00:00+00:00,20.355436325073242
2024-09-24 00:00:00+00:00,20.467998504638672
2024-09-25 00:00:00+00:00,20.742645263671875
2024-09-26 00:00:00+00:00,21.064119338989258
2024-09-27 00:00:00+00:00,21.16587257385254
2024-09-30 00:00:00+00:00,20.7696590423584
2024-10-01 00:00:00+00:00,20.260887145996094
2024-10-02 00:00:00+00:00,19.945716857910156
2024-10-03 00:00:00+00:00,19.780927658081055
2024-10-04 00:00:00+00:00,19.617040634155273
2024-10-07 00:00:00+00:00,19.87367820739746
2024-10-08 00:00:00+00:00,19.202817916870117
2024-10-09 00:00:00+00:00,19.932209014892578
2024-10-10 00:00:00+00:00,20.62558364868164
2024-10-11 00:00:00+00:00,20.603069305419922
2024-10-14 00:00:00+00:00,20.863311767578125
2024-10-15 00:00:00+00:00,20.607574462890625
2024-10-16 00:00:00+00:00,19.88178253173828
2024-10-17 00:00:00+00:00,19.761117935180664
2024-10-18 00:00:00+00:00,19.698083877563477
2024-10-21 00:00:00+00:00,19.360403060913086
2024-10-22 00:00:00+00:00,19.456754684448242
2024-10-23 00:00:00+00:00,20.305910110473633
2024-10-24 00:00:00+00:00,20.886722564697266
2024-10-25 00:00:00+00:00,20.86421012878418
2024-10-28 00:00:00+00:00,20.8435001373291
2024-10-29 00:00:00+00:00,20.94615364074707
2024-10-30 00:00:00+00:00,20.72013282775879
2024-10-31 00:00:00+00:00,20.148324966430664
2024-11-01 00:00:00+00:00,20.102401733398438
2024-11-04 00:00:00+00:00,20.684114456176758
2024-11-05 00:00:00+00:00,20.3824520111084
2024-11-06 00:00:00+00:00,19.92860984802246
2024-11-07 00:00:00+00:00,20.69131851196289
2024-11-08 00:00:00+00:00,20.970468521118164
2024-11-11 00:00:00+00:00,20.81918716430664
2024-11-12 00:00:00+00:00,20.567951202392578
2024-11-13 00:00:00+00:00,20.12941551208496
2024-11-14 00:00:00+00:00,20.64719581604004
2024-11-15 00:00:00+00:00,20.41126823425293
2024-11-18 00:00:00+00:00,21.233407974243164
2024-11-19 00:00:00+00:00,20.86060905456543
2024-11-20 00:00:00+00:00,20.693117141723633
2024-11-21 00:00:00+00:00,21.197391510009766
2024-11-22 00:00:00+00:00,20.627384185791016
2024-11-25 00:00:00+00:00,21.089332580566406
2024-11-26 00:00:00+00:00,20.71202850341797
2024-11-27 00:00:00+00:00,20.81468391418457
2024-11-29 00:00:00+00:00,20.76425552368164
2024-12-02 00:00:00+00:00,20.694921493530273
2024-12-03 00:00:00+00:00,20.63458824157715
2024-12-04 00:00:00+00:00,20.52202796936035
2024-12-05 00:00:00+00:00,20.505817413330078
2024-12-06 00:00:00+00:00,20.859708786010742
2024-12-09 00:00:00+00:00,20.215864181518555
2024-12-10 00:00:00+00:00,20.75615119934082
2024-12-11 00:00:00+00:00,20.74444580078125
2024-12-12 00:00:00+00:00,19.73410415649414
2024-12-13 00:00:00+00:00,19.455854415893555
2024-12-16 00:00:00+00:00,19.12807846069336
2024-12-17 00:00:00+00:00,18.90520477294922
2024-12-18 00:00:00+00:00,18.59239959716797
2024-12-19 00:00:00+00:00,19.506378173828125
2024-12-20 00:00:00+00:00,19.617815017700195
2024-12-23 00:00:00+00:00,20.17597770690918
2024-12-24 00:00:00+00:00,20.14078712463379
2024-12-26 00:00:00+00:00,20.2297420501709
2024-12-27 00:00:00+00:00,20.782039642333984
2024-12-30 00:00:00+00:00,20.796701431274414
2024-12-31 00:00:00+00:00,21.2170352935791
2025-01-02 00:00:00+00:00,21.77910804748535
2025-01-03 00:00:00+00:00,21.974611282348633
2025-01-06 00:00:00+00:00,21.46630096435547
2025-01-07 00:00:00+00:00,21.446752548217773
2025-01-08 00:00:00+00:00,20.723388671875
2025-01-10 00:00:00+00:00,21.33922576904297
2025-01-13 00:00:00+00:00,21.906185150146484
2025-01-14 00:00:00+00:00,22.178913116455078
2025-01-15 00:00:00+00:00,22.497583389282227
2025-01-16 00:00:00+00:00,22.39983367919922
2025-01-17 00:00:00+00:00,22.77617645263672
2025-01-21 00:00:00+00:00,23.241474151611328
2025-01-22 00:00:00+00:00,22.952129364013672
2025-01-23 00:00:00+00:00,23.489765167236328
2025-01-24 00:00:00+00:00,23.90032386779785
2025-01-27 00:00:00+00:00,23.201398849487305
2025-01-28 00:00:00+00:00,23.406675338745117
2025-01-29 00:00:00+00:00,24.154476165771484
2025-01-30 00:00:00+00:00,23.919872283935547
2025-01-31 00:00:00+00:00,24.233657836914062
2025-02-03 00:00:00+00:00,23.41645050048828
2025-02-04 00:00:00+00:00,23.432092666625977
2025-02-05 00:00:00+00:00,23.514204025268555
2025-02-06 00:00:00+00:00,23.699932098388672
2025-02-07 00:00:00+00:00,23.691133499145508
2025-02-10 00:00:00+00:00,23.87099838256836
2025-02-11 00:00:00+00:00,23.739032745361328
2025-02-12 00:00:00+00:00,23.50442886352539
2025-02-13 00:00:00+00:00,22.766403198242188
2025-02-14 00:00:00+00:00,23.38028335571289
2025-02-18 00:00:00+00:00,22.0968017578125
2025-02-19 00:00:00+00:00,21.42231559753418
2025-02-20 00:00:00+00:00,21.202373504638672
2025-02-21 00:00:00+00:00,21.524953842163086
2025-02-24 00:00:00+00:00,21.573829650878906
2025-02-25 00:00:00+00:00,20.992206573486328
2025-02-26 00:00:00+00:00,20.87001609802246
2025-02-27 00:00:00+00:00,21.184778213500977
2025-02-28 00:00:00+00:00,20.5982666015625
2025-03-03 00:00:00+00:00,20.84069061279297
2025-03-04 00:00:00+00:00,20.297189712524414
2025-03-05 00:00:00+00:00,20.5933780670166
2025-03-06 00:00:00+00:00,20.2199649810791
2025-03-07 00:00:00+00:00,20.676467895507812
2025-03-10 00:00:00+00:00,20.850465774536133
2025-03-11 00:00:00+00:00,20.87099266052246
2025-03-12 00:00:00+00:00,21.087026596069336
2025-03-13 00:00:00+00:00,21.315763473510742
2025-03-14 00:00:00+00:00,21.524953842163086
2025-03-17 00:00:00+00:00,21.406673431396484
2025-03-18 00:00:00+00:00,21.74978256225586
2025-03-19 00:00:00+00:00,22.54646110534668
2025-03-20 00:00:00+00:00,22.126127243041992
2025-03-21 00:00:00+00:00,21.485851287841797
2025-03-24 00:00:00+00:00,21.578718185424805
2025-03-25 00:00:00+00:00,21.193574905395508
2025-03-26 00:00:00+00:00,21.23169708251953
2025-03-27 00:00:00+00:00,20.52788543701172
2025-03-28 00:00:00+00:00,20.782039642333984
2025-03-31 00:00:00+00:00,20.596311569213867
2025-04-01 00:00:00+00:00,21.12417221069336
2025-04-02 00:00:00+00:00,20.762489318847656
2025-04-03 00:00:00+00:00,20.10755157470703
2025-04-04 00:00:00+00:00,19.384187698364258
2025-04-07 00:00:00+00:00,18.846553802490234
2025-04-08 00:00:00+00:00,18.776172637939453
2025-04-09 00:00:00+00:00,19.374412536621094
2025-04-10 00:00:00+00:00,19.36268424987793
2025-04-11 00:00:00+00:00,20.430131912231445
2025-04-14 00:00:00+00:00,20.967769622802734
2025-04-15 00:00:00+00:00,20.631502151489258
2025-04-16 00:00:00+00:00,20.92378044128418
